Step,Training loss,Reward,Reward std,Completion length,Kullback-Leibler divergence 
132,0.0002,0.069333,0.092947,310.5,0.005236
133,0.0002,0.129333,0.2012,234.5,0.004463
134,0.0003,-0.131,0.419721,272,0.006711
135,0.0004,0.198,0.355729,299.666687,0.009283
136,0.0005,0.0005,0.078112,227.166672,0.01215
137,0.0002,0.152,0.198303,320.5,0.005693
138,0.0002,0,0,266.166687,0.004876
139,0.0003,-0.071667,0.297783,245.333344,0.008113
140,0.0004,0.685167,0.947003,294.333344,0.009444
141,0.0005,0.0875,0.08403,170.166672,0.011732
142,0.0004,0.913333,1.221129,207.666672,0.010194
143,0.0005,0.523,0.941407,148.5,0.013267
144,0.001,0.697333,0.950596,270,0.025069
145,0.0008,0.0095,0.124701,217.833344,0.018995
146,0.0002,0.1015,0.178875,340.666687,0.004827
147,0.0005,0.404833,1.281746,190,0.012905
148,0.0003,0.121333,0.170411,287.166687,0.007585
149,0.0008,0.516833,0.899392,154.5,0.019079
150,0.0007,0.822667,1.173091,298.5,0.017971
151,0.0008,0.214667,0.293382,202.166672,0.021151
152,0.0003,0.349833,0.946657,296,0.008258
153,0.0007,0.166667,0.222385,133.333344,0.016684
154,0.0016,1.363667,1.454048,141,0.03918
155,0.0005,0.1315,0.208419,288.5,0.012136
156,0.001,0.0755,0.134234,185,0.024674
157,0.0012,0.294167,0.26898,145.166672,0.030336
158,0.0009,1.840667,1.255222,128.833344,0.023331
159,0.0015,0.026333,0.167235,177.333344,0.036323
160,0.0099,1.351167,1.37966,88.333336,0.247084
161,0.0008,1.107833,1.191562,174.166672,0.019617
162,0.0008,0.078167,0.212794,218.333344,0.019781
163,0.0006,0.003,0.139592,298,0.015634
164,0.0007,0.360667,0.318126,184.833344,0.016977
165,0.0023,1.005833,1.139038,216.833344,0.057239
166,0.0009,1.207,1.35094,214.666672,0.021561
167,0.0006,0.497833,0.895168,225.333344,0.014055
168,0.0007,1.2895,1.369958,204.5,0.017929
169,0.001,0.361,0.423436,218.833344,0.025823
170,0.0011,0.551,1.039571,159,0.026908
171,0.0017,1.328833,1.374959,156.333344,0.042263
172,0.0006,0.1055,0.051783,442.333344,0.014276
173,0.002,1.686333,1.318357,154.333344,0.050783
174,0.0012,1.750167,1.136257,223,0.031084
175,0.0046,1.0555,1.170142,150.5,0.115241
176,0.0023,1.3475,1.388745,191.666672,0.058266
177,0.0015,0.4955,1.412845,224.666672,0.03683
178,0.0022,2.3395,0.95808,99.833336,0.055409
179,0.0015,1.713667,1.292063,126.333336,0.03723
180,0.0009,0.168,0.441634,275,0.023668
181,0.0007,0.349,1.037257,347,0.01762
182,0.0024,2.366,0.794203,147.333344,0.059993
183,0.0006,-0.145333,0.763304,457,0.01459
184,0.0008,1.503834,1.190802,230.666672,0.01931
185,0.0012,1.084667,1.075638,165.666672,0.030261
186,0.0004,2.143834,0.982948,179,0.010018
187,0.0026,1.792,1.240721,126.166672,0.064199
188,0.0016,0.401667,0.327009,203.666672,0.039779
189,0.0009,0.235667,0.152986,389.833344,0.02247
190,0.0005,0.678,0.919712,324,0.01312
191,0.0009,0.172167,0.239093,188,0.022609
192,0.0013,0.035,0.097765,195.666672,0.031259
193,0.0092,1.280667,1.161598,110.166672,0.229313
194,0.002,1.893167,1.277603,114.833336,0.049659
195,0.0014,1.5165,1.371512,226.333344,0.034262
196,0.0097,1.722,1.363027,183.833344,0.242009
197,0.0018,2.274167,0.353623,241.666672,0.043947
198,0.0023,0.799833,1.607816,230.666672,0.056737
199,0.0013,1.397667,1.012305,118.666672,0.031517
200,0.0013,0.055333,0.072102,311.666687,0.032104
201,0.011,0.385333,0.885448,226.833344,0.274363
202,0.0012,2.208833,0.771217,197,0.030054
203,0.0007,0.459167,1.01884,327.833344,0.016479
204,0.0014,2.5235,0.087637,203.5,0.035399
205,0.0006,1.393833,1.08937,237,0.01542
206,0.0012,1.795833,1.415693,174.666672,0.028955
207,0.0012,2.576667,0.170771,180.333344,0.029699
208,0.003,2.38,0.853502,87.666672,0.075391
209,0.0014,0.040167,0.111106,189.166672,0.033861
